"","Lower95","Median","Upper95","Mean","SD"
"muAlpha[1,1]",0.996034,1.040725,1.08531,1.04092034883333,0.0227286545041814
"muAlpha[2,1]",0.972384,1.0142,1.06145,1.014580527,0.0225825823624267
"muAlpha[1,2]",0.995955,1.027585,1.0581,1.02773627741667,0.0158519677415633
"muAlpha[2,2]",1.02279,1.05513,1.08728,1.05535508533333,0.0166774093036851
"muBeta[1,1]",0.514042,0.5462035,0.578023,0.5463687945,0.0163571495099017
"muBeta[2,1]",0.53068,0.5642165,0.595128,0.5640017745,0.0166336697516844
"muBeta[1,2]",0.545445,0.5669805,0.588406,0.56696354725,0.0109181444649406
"muBeta[2,2]",0.529536,0.552087,0.573281,0.552029776,0.0111325424129309
"muNDT[1,1]",0.331249,0.3466915,0.361791,0.34668945925,0.00774305042428341
"muNDT[2,1]",0.345211,0.3608165,0.375916,0.3607842645,0.00775107231904384
"muNDT[3,1]",0.309312,0.324208,0.339517,0.324251268916667,0.00779496269710261
"muNDT[4,1]",0.30646,0.321987,0.336638,0.321956833583333,0.0076639424041625
"muNDT[1,2]",0.347188,0.357085,0.3667,0.357118682,0.00497570830431576
"muNDT[2,2]",0.351415,0.3615795,0.371127,0.361567310416667,0.00503104003671664
"muNDT[3,2]",0.328102,0.3374515,0.347408,0.337444927916667,0.00492313584385996
"muNDT[4,2]",0.319372,0.3291805,0.338394,0.329103495083333,0.00490968675141048
"muDelta[1,1]",-2.7043,-2.31855,-1.96329,-2.32043339833333,0.189833918078731
"muDelta[2,1]",-2.90285,-2.50536,-2.12598,-2.50874321833333,0.198526480935697
"muDelta[3,1]",1.91184,2.28703,2.67331,2.28831952333333,0.194874944351758
"muDelta[4,1]",1.8981,2.283395,2.66945,2.28535162083333,0.197504495928972
"muDelta[1,2]",-2.57514,-2.350825,-2.12123,-2.35035866416667,0.116521050236726
"muDelta[2,2]",-2.43612,-2.20729,-1.9758,-2.20699759083333,0.117933814255495
"muDelta[3,2]",1.81702,2.05414,2.2881,2.0532037425,0.120340373653565
"muDelta[4,2]",2.14082,2.37809,2.61776,2.37888427416667,0.121226410741203
